,,overall LPI score,,,overall LPI rank,,,,Customs,,Infrastructure,,International shipments,,Logistics quality and competence,,Tracking and tracing,,Timeliness,
,,,,,,,,,,,,,,,,,,,,
Country,Code,score,lower bound,upper bound,rank,lower bound,upper bound,% of highest performer,score,rank,score,rank,score,rank,score,rank,score,rank,score,rank
Germany,DEU,4.20,4.16,4.25,1,1,1,100.00,4.09,1,4.37,1,3.86,4,4.31,1,4.24,2,4.39,3
Sweden,SWE,4.05,3.90,4.20,2,2,12,95.36,4.05,2,4.24,3,3.92,2,3.98,10,3.88,17,4.28,7
Belgium,BEL,4.04,3.92,4.16,3,2,12,94.93,3.66,14,3.98,14,3.99,1,4.13,2,4.05,9,4.41,1
Austria,AUT,4.03,3.88,4.17,4,2,14,94.52,3.71,12,4.18,5,3.88,3,4.08,6,4.09,7,4.25,12
Japan,JPN,4.03,3.96,4.09,5,2,10,94.51,3.99,3,4.25,2,3.59,14,4.09,4,4.05,10,4.25,10
Netherlands,NLD,4.02,3.95,4.09,6,2,11,94.31,3.92,5,4.21,4,3.68,11,4.09,5,4.02,11,4.25,11
Singapore,SGP,4.00,3.86,4.13,7,2,15,93.59,3.89,6,4.06,6,3.58,15,4.10,3,4.08,8,4.32,6
Denmark,DNK,3.99,3.82,4.16,8,2,17,93.45,3.92,4,3.96,17,3.53,19,4.01,9,4.18,3,4.41,2
United Kingdom,GBR,3.99,3.93,4.05,9,3,11,93.30,3.77,11,4.03,8,3.67,13,4.05,7,4.11,4,4.33,5
Finland,FIN,3.97,3.68,4.26,10,1,21,92.74,3.82,8,4.00,11,3.56,16,3.89,15,4.32,1,4.28,8
United Arab Emirates,ARE,3.96,3.86,4.05,11,2,15,92.35,3.63,15,4.02,10,3.85,5,3.92,13,3.96,13,4.38,4
"Hong Kong SAR, China",HKG,3.92,3.83,4.01,12,7,17,91.21,3.81,9,3.97,15,3.77,8,3.93,12,3.92,15,4.14,15
Switzerland,CHE,3.90,3.80,4.00,13,7,17,90.63,3.63,16,4.02,9,3.51,20,3.97,11,4.10,5,4.24,13
United States,USA,3.89,3.83,3.94,14,12,17,90.12,3.78,10,4.05,7,3.51,23,3.87,16,4.09,6,4.08,19
New Zealand,NZL,3.88,3.63,4.12,15,2,23,89.82,3.71,13,3.99,13,3.43,27,4.02,8,3.92,16,4.26,9
France,FRA,3.84,3.79,3.90,16,14,17,88.85,3.59,19,4.00,12,3.55,17,3.84,17,4.00,12,4.15,14
Spain,ESP,3.83,3.74,3.92,17,12,18,88.44,3.62,17,3.84,19,3.83,6,3.80,18,3.83,19,4.06,20
Australia,AUS,3.75,3.60,3.90,18,14,26,85.94,3.87,7,3.97,16,3.25,40,3.71,21,3.82,20,3.98,21
Italy,ITA,3.74,3.68,3.80,19,18,22,85.56,3.47,23,3.85,18,3.51,21,3.66,24,3.85,18,4.13,17
Canada,CAN,3.73,3.56,3.89,20,14,27,85.17,3.60,18,3.75,21,3.38,30,3.90,14,3.81,21,3.96,22
Norway,NOR,3.70,3.45,3.94,21,12,30,84.23,3.52,21,3.69,24,3.43,26,3.69,23,3.94,14,3.94,24
Czech Republic,CZE,3.68,3.53,3.83,22,17,28,83.72,3.29,30,3.46,26,3.75,10,3.72,20,3.70,24,4.13,16
